horizon,n,mae,p50,p80
1,3342,13.178060076923217,6.654808056749317,17.2920439432753
2,3336,22.309921711319443,15.347670217317273,33.19015505061532
3,3336,33.60344674544166,27.490331357949174,48.55790375854167
4,3333,46.62911408881116,39.61771571438655,67.7788360154964
5,3328,58.766156480875466,53.604761321648,84.06533107924102
6,3330,69.72723320657647,65.25590763719728,97.497132585198
7,3329,78.26479003113216,74.69711578893168,108.74840551860427
8,3329,85.25481157710955,80.20328752008618,116.32933466567295
